_user,BasePoints,Question,Number,_key,StartTime,EndTime,AdditionalBonusInstructions,AdditionalBonusPoints
nobody,250,What is the MD5 hash of the executable uploaded?,110,58af598b1ad91748ec53aa31,0,1893456000,,
nobody,250,What was the first brute force password used?,114,58af598b1ad91748ec53aa33,0,1893456000,,
nobody,500,What is the name of the USB key inserted by Bob Smith?,205,58af598b1ad91748ec53aa18,0,1893456000,,
nobody,50,What was the most likely IP address of we8105desk on 24AUG2016?,200,58af598b1ad91748ec53aa25,0,1893456000,,
nobody,1000,"What was the correct password for admin access to the content management system running ""imreallynotbatman.com""?",116,58af598a1ad91748ec53aa16,0,1893456000,,
nobody,250,One of the passwords in the brute force attack is James Brodsky's favorite Coldplay song. Hint: we are looking for a six character word on this one. Which is it?,115,58af598a1ad91748ec53aa14,0,1893456000,,
nobody,500,"What was the average password length used in the password brute forcing attempt? (Round to closest whole integer. For example ""5"" not ""5.23213"")",117,58af598b1ad91748ec53aa1c,0,1893456000,,
nobody,50,What is the likely IP address of someone from the Po1s0n1vy group scanning imreallynotbatman.com for web application vulnerabilities?,101,58af598b1ad91748ec53aa36,0,1893456000,,
nobody,50,"What content management system is imreallynotbatman.com likely using?(Please do not include punctuation such as . , ! ? in your answer. We are looking for alpha characters only.)",103,58af598b1ad91748ec53aa19,0,1893456000,,
nobody,50,"Amongst the Suricata signatures that detected the Cerber malware, which one alerted the fewest number of times? Submit ONLY the signature ID value as the answer. (No punctuation, just 7 integers.)",201,58af598c1ad91748ec53aa38,0,1893456000,,
nobody,250,What fully qualified domain name (FQDN) does the Cerber ransomware attempt to direct the user to at the end of its encryption phase?,202,58af598c1ad91748ec53aa39,0,1893456000,,
nobody,500,How many seconds elapsed between the time the brute force password scan identified the correct password and the compromised login? Round to 2 decimal places.,118,58af598b1ad91748ec53aa37,0,1893456000,,
nobody,500,"During the initial Cerber infection a VB script is run. The entire script from this execution, pre-pended by the name of the launching .exe, can be found in a field in Splunk. What is the length in characters of the value of this field?",204,58af598b1ad91748ec53aa21,0,1893456000,,
nobody,50,Bob Smith's workstation (we8105desk) was connected to a file server during the ransomware outbreak. What is the IP address of the file server?,206,58af598b1ad91748ec53aa22,0,1893456000,,
nobody,1000,"Now that you know the name of the ransomware's encryptor file, what obfuscation technique does it likely use?",211,58af598b1ad91748ec53aa2c,0,1893456000,,
nobody,250,The Cerber ransomware encrypts files located in Bob Smith's Windows profile. How many .txt files does it encrypt?,209,58af598b1ad91748ec53aa24,0,1893456000,,
nobody,250,The malware downloads a file that contains the Cerber ransomware cryptor code. What is the name of that file?,210,58af598b1ad91748ec53aa26,0,1893456000,,
nobody,50,This is a simple question to get you familiar with submitting answers. What is the name of the company that makes the software that you are using for this competition? Just a six-letter word with no punctuation.,1,58af598b1ad91748ec53aa27,0,1893456000,,
nobody,250,This attack used dynamic DNS to resolve to the malicious IP. What fully qualified domain name (FQDN) is associated with this attack?,105,58af598b1ad91748ec53aa2a,0,1893456000,,
nobody,50,"What company created the web vulnerability scanner used by Po1s0n1vy? Type the company name. (For example ""Microsoft"" or ""Oracle"")",102,58af598b1ad91748ec53aa28,0,1893456000,,
nobody,250,"What is the name of the file that defaced the imreallynotbatman.com website? Please submit only the name of the file with extension (For example ""notepad.exe"" or ""favicon.ico"")",104,58af598b1ad91748ec53aa29,0,1893456000,,
nobody,100,"Based on the data gathered from this attack and common open source intelligence sources for domain names, what is the email address that is most likely associated with Po1s0n1vy APT group?",107,58af598b1ad91748ec53aa2d,0,1893456000,,
nobody,50,What IP address is likely attempting a brute force password attack against imreallynotbatman.com?,108,58af598b1ad91748ec53aa2e,0,1893456000,,
nobody,1000,What special hex code is associated with the customized malware discussed in question 111? (Hint: It's not in Splunk),112,58af598b1ad91748ec53aa2f,0,1893456000,,
nobody,50,"What is the name of the executable uploaded by Po1s0n1vy? Please include file extension. (For example, ""notepad.exe"" or ""favicon.ico"")",109,58af598b1ad91748ec53aa30,0,1893456000,,
nobody,500,"One of Po1s0n1vy's staged domains has some disjointed ""unique"" whois information. Concatenate the two codes together and submit as a single answer.",113,58af598b1ad91748ec53aa32,0,1893456000,,
nobody,500,"GCPD reported that common TTPs (Tactics, Techniques, Procedures) for the Po1s0n1vy APT group, if initial compromise fails, is to send a spear phishing email with custom malware attached to their intended target. This malware is usually connected to Po1s0n1vys initial attack infrastructure. Using research techniques, provide the SHA256 hash of this malware.",111,58af598b1ad91748ec53aa34,0,1893456000,,
nobody,50,The VBscript found in question 204 launches 121214.tmp. What is the ParentProcessId of this initial launch?,208,58af598b1ad91748ec53aa35,0,1893456000,,
nobody,500,What IP address has Po1s0n1vy tied to domains that are pre-staged to attack Wayne Enterprises?,106,58af598b1ad91748ec53aa2b,0,1893456000,,
nobody,500,How many unique passwords were attempted in the brute force attempt?,119,58af598c1ad91748ec53aa3b,0,1893456000,,
nobody,500,What was the first suspicious domain visited by we8105desk on 24AUG2016?,203,58af598c1ad91748ec53aa3a,0,1893456000,,
nobody,250,How many distinct PDFs did the ransomware encrypt on the remote file server?,207,58af598b1ad91748ec53aa23,0,1893456000,,
